 Togm_CGC_planar Vogm_CGC_planar Togm_icm Vogm_icm Togm_kl Vogm_kl Togm_lf1 Vogm_lf1 Togm_mcfusion_HC_BASE Vogm_mcfusion_HC_BASE Togm_mcfusion_HC_BASE_CGCF Vogm_mcfusion_HC_BASE_CGCF Togm_mcfusion_HC_CGC Vogm_mcfusion_HC_CGC Togm_mcfusion_HC_CGC_CGCF Vogm_mcfusion_HC_CGC_CGCF Togm_mcfusion_HC_MC Vogm_mcfusion_HC_MC Togm_mcfusion_HC_MC_CGCF Vogm_mcfusion_HC_MC_CGCF Togm_mcfusion_WS_BASE Vogm_mcfusion_WS_BASE Togm_mcfusion_WS_BASE_CGCF Vogm_mcfusion_WS_BASE_CGCF Togm_mcfusion_WS_CGC Vogm_mcfusion_WS_CGC Togm_mcfusion_WS_CGC_CGCF Vogm_mcfusion_WS_CGC_CGCF Togm_mcfusion_WS_MC Vogm_mcfusion_WS_MC Togm_mcfusion_WS_MC_CGCF Vogm_mcfusion_WS_MC_CGCF TMC_CC VMC_CC TMC_CCFDB VMC_CCFDB TMC_CCFDB_OWC VMC_CCFDB_OWC TMC_CCFDB_CCIFD VMC_CCFDB_CCIFD TMC_CCI VMC_CCI TMC_CCIFD VMC_CCIFD 
 0.0867 0.5146 4.4402 639.1008 0.8338 295.8554 1.5259 639.1008 0.1324 1250.3797 0.1403 840.2432 0.8973 1.1325 0.8987 1.1325 1.7308 0.0001 1.7334 0.0001 0.0559 2412.2505 0.1774 13.3782 1.0277 1.1325 1.0704 1.1325 2.4630 1.1325 2.5396 1.1325 0.9355 0.0001 0.3281 0.0001 0.3422 0.0001 0.3220 0.0001 0.8058 0.0001 0.7180 0.0001 
 0.0528 0.0001 1.2734 208.6441 0.1272 79.5751 0.4447 208.6441 0.0690 555.3898 0.0722 387.9475 0.4566 0.0001 0.4580 0.0001 2.1652 0.0001 2.0556 0.0001 0.0297 1335.3489 0.0771 7.6123 0.2344 3.6540 0.2974 6.0733 0.7213 0.8903 0.8221 0.1169 0.3576 0.8824 0.1149 0.8824 0.1205 0.8824 0.2010 0.0001 0.3959 0.0001 0.4154 0.0001 
 0.0709 2.0088 1.5005 185.2491 0.5345 133.9992 0.5144 185.2491 0.0717 872.5108 0.0758 373.7941 0.5171 2.1835 0.5175 2.1835 7.4915 1.0249 7.4359 1.0249 0.0313 1439.5148 0.1130 7.0855 0.8897 0.0852 0.9158 0.0852 8.0286 0.0852 7.9474 0.0852 0.6417 3.9661 0.3845 3.9661 0.3926 3.9661 0.4978 0.0001 1.5397 0.0001 1.1698 0.0001 
 0.1363 1.2230 2.3790 355.4517 0.8865 246.3781 0.8229 355.4517 0.1038 1011.8476 0.1119 717.6315 1.2557 1.2660 1.2607 1.2660 2.2610 0.2062 2.2155 0.2062 0.0438 1433.6049 0.9017 42.9922 0.8954 1.8527 0.9509 1.8527 2.6754 1.1817 2.7873 1.1817 6.2375 0.0001 4.0288 0.0001 3.9536 0.0001 4.0299 0.0001 1.1470 0.0001 1.2929 0.0001 
 0.2655 0.9837 4.4613 289.8460 1.2688 251.4670 1.5469 289.8460 0.1511 1298.3933 0.1625 984.8399 1.1931 19.3849 1.2142 19.3849 10.4791 18.4491 10.3354 18.4491 0.0626 2040.6357 1.7667 42.5979 1.6477 15.7129 1.9692 15.7129 12.7052 15.6666 13.0512 15.6666 13.5654 17.9480 4.4323 17.9480 4.4446 17.9480 5.8946 0.0001 3.0546 0.0001 2.9657 0.0001 
 0.0556 0.0417 0.3685 72.8100 0.0285 27.1590 0.1295 72.8100 0.0397 438.4056 0.0417 323.6894 0.1161 0.0417 0.1174 0.0417 0.3236 0.0417 0.3250 0.0417 0.0162 609.5751 0.0734 4.1064 0.1172 0.3060 0.1402 0.0417 0.3630 0.3060 0.3942 0.0417 0.5720 4.8442 0.2782 4.8442 0.2874 4.8442 0.4578 0.0001 0.5953 0.0001 0.4012 0.0001 
 0.2594 3.2817 7.7643 398.9938 4.7798 334.3871 2.7020 398.9938 0.1762 1581.1166 0.1862 928.6498 1.8883 0.4353 1.8940 0.4353 4.5660 0.0001 4.6417 0.0001 0.0735 3734.5563 2.6832 31.3488 1.5174 9.1074 1.7106 7.4796 5.2836 1.5207 5.4188 0.4452 6.9419 3.9322 4.4066 3.9322 4.6587 3.9322 5.0450 0.0001 2.1170 0.0001 3.6667 0.0001 
 1.5190 11.3605 10.4478 291.8458 3.7552 213.9333 3.5184 291.8458 0.2236 1905.5258 0.2480 1288.3215 5.4043 3.5877 5.4488 3.5367 10.5329 2.8572 10.5970 2.8572 0.0917 3080.3042 10.9690 20.1066 3.5362 15.7373 5.5028 13.5804 12.2527 4.5193 14.4728 3.0235 39.9507 3.8452 21.7011 3.8452 22.1547 3.8452 22.8648 0.0001 3.7311 0.0001 5.6396 0.0001 
 0.4609 4.4560 3.7608 333.4688 1.6790 237.7896 1.2959 333.4688 0.1217 1200.6822 0.1326 685.4383 0.8530 3.3608 0.8652 2.6562 1.3177 1.7682 1.3298 1.7682 0.0514 2267.1135 1.8229 24.9651 1.1075 2.1744 1.4483 0.0001 2.1591 2.1288 2.5303 0.0001 6.9675 0.0001 3.4779 0.0001 3.2733 0.0001 3.2301 0.0001 2.8754 0.0001 1.9848 0.0001 
 0.3937 3.7580 2.9239 273.0384 1.5559 185.2846 0.9985 273.0384 0.1103 921.9555 0.1187 629.3435 0.6756 1.8269 0.6836 1.8269 2.3901 0.0001 2.4689 0.0001 0.0464 2010.5468 2.0927 22.7904 1.3498 5.4499 1.7322 2.4058 3.5001 0.2777 3.9005 0.0001 7.1923 4.4292 3.1976 4.4292 3.1980 4.4292 3.5248 0.0001 1.9891 0.0001 2.4022 0.0001 
 0.1095 0.0001 4.2256 272.6281 1.3431 174.8031 1.4184 272.6281 0.1166 1016.9420 0.1212 523.4610 0.6861 0.0001 0.6954 0.0001 0.8766 0.0001 0.9942 0.0001 0.0495 3472.4932 0.1467 3.8481 0.9427 1.1182 0.9816 0.5375 2.2019 1.1182 2.1752 0.5375 0.4171 0.0001 0.0934 0.0001 0.0939 0.0001 0.0956 0.0001 0.1313 0.0001 0.3897 0.0001 
 0.9853 3.5682 10.8667 326.5412 13.9417 171.8875 3.6484 326.4344 0.2000 1565.8537 0.2121 681.9923 3.1981 4.1580 3.2270 4.0802 9.5451 1.6860 9.8117 1.6860 0.0830 5396.8153 4.2875 12.8348 6.1494 4.9960 7.0823 4.9960 11.2905 4.8706 12.0317 3.6758 7.6953 3.8429 1.9107 3.8429 2.0872 3.8429 2.1777 0.0001 1.1769 0.0001 1.0240 0.0001 
 0.1111 3.7259 1.8223 290.4772 0.2322 216.5208 0.5919 287.7328 0.0937 845.9344 0.1058 587.1556 0.2897 5.0919 0.2930 5.0919 1.8061 5.0919 1.8925 5.0919 0.0409 1496.1339 0.5264 38.6213 0.3988 1.0866 0.5096 1.0866 1.2101 1.5643 1.3294 1.5643 9.0724 0.0001 5.3341 0.0001 5.2823 0.0001 5.3701 0.0001 4.2928 0.0001 3.1364 0.0001 
 0.0468 0.4310 1.4295 139.7467 0.2141 106.7475 0.4903 139.7467 0.0666 557.8909 0.0698 287.3984 0.2835 0.4310 0.2855 0.4310 2.3089 0.0001 2.3029 0.0001 0.0287 1662.0693 0.0695 8.0781 0.7056 0.4310 0.7221 0.4310 1.8331 0.0001 1.9900 0.0001 0.2664 1.2774 0.0638 1.2774 0.0705 1.2774 0.1050 0.0001 0.4311 0.0001 0.2514 0.0001 
 0.6566 18.6088 3.8639 277.5372 1.6317 243.7406 1.3003 277.5372 0.1377 1313.1919 0.1538 967.5036 0.9223 0.3248 0.9279 0.3248 5.0890 2.5302 4.9383 2.5302 0.0561 2133.8891 2.6748 40.3691 2.1376 2.7563 2.9494 2.7563 12.4313 3.7826 13.7545 3.7826 32.3864 15.3696 14.0752 15.3696 14.3358 15.3696 17.8882 0.0001 5.2659 0.0001 4.8298 0.0001 
 2.5768 3.3775 8.4143 391.8336 9.2791 99.9419 2.8332 390.8522 0.1895 1491.7642 0.2170 723.0011 4.4001 1.7166 4.4314 1.7166 11.0866 0.0001 11.2529 0.0001 0.0733 5355.1552 19.4433 5.7859 6.1579 4.3557 13.1390 0.7717 8.0408 3.7406 15.0818 0.1566 42.2454 11.3257 13.3053 11.3257 13.1753 11.3257 17.1281 0.0001 4.6640 0.0001 3.1348 0.0001 
 0.0165 0.0001 0.3226 116.1914 0.0174 61.5324 0.1100 116.1914 0.0328 276.3791 0.0344 171.7925 0.0704 0.0001 0.0715 0.0001 0.2870 0.0001 0.2934 0.0001 0.0139 544.9246 0.0493 4.7736 0.0780 0.0001 0.0861 0.0001 0.3465 0.0001 0.3537 0.0001 0.1276 0.0001 0.0834 0.0001 0.0838 0.0001 0.0838 0.0001 0.1068 0.0001 0.0566 0.0001 
 0.0224 0.0001 0.4890 131.4136 0.0438 69.6828 0.1751 131.4136 0.0422 438.8674 0.0438 327.2032 0.1572 5.7672 0.1583 5.7672 0.4092 5.7672 0.4185 5.7672 0.0182 920.3368 0.0411 1.3784 0.1612 0.0001 0.1717 0.0001 0.5125 0.0001 0.5280 0.0001 0.2245 0.0001 0.1478 0.0001 0.1498 0.0001 0.1599 0.0001 0.2982 0.0001 0.1671 0.0001 
 0.0718 0.9341 1.9609 289.6686 0.2331 71.0710 0.6663 289.6686 0.0880 616.5341 0.0912 396.6295 0.3400 1.3200 0.3410 1.3200 0.8039 0.2988 0.8146 0.2988 0.0364 1965.1105 0.0811 20.4185 0.4331 1.5294 0.4480 1.5294 1.0948 0.5083 1.1080 0.5083 0.2084 0.0001 0.0463 0.0001 0.0489 0.0001 0.0534 0.0001 0.1499 0.0001 0.1384 0.0001 
 0.1555 1.1906 2.5660 155.3873 0.6814 111.3440 0.8686 160.4920 0.1003 959.2012 0.1060 593.3053 1.0637 0.0001 1.0728 0.0001 4.7160 0.0001 4.7801 0.0001 0.0419 1625.1369 0.2856 7.9900 0.8734 0.5086 0.9503 0.4522 7.9151 0.0565 7.5871 0.0001 1.9855 2.9020 1.1025 2.9020 1.0632 2.9020 1.2290 0.0001 0.7595 0.0001 1.0655 0.0001 
 0.2735 3.6329 11.9071 500.0141 1.7951 257.8307 3.9641 499.8820 0.2198 1794.0375 0.2311 1087.3921 2.8873 0.6631 2.9408 0.6631 3.8553 1.7469 3.9109 1.7469 0.0894 5003.7147 0.3867 20.8969 3.0259 1.6874 3.0842 0.8492 4.5651 4.8219 4.9337 0.0519 1.5601 2.0467 0.5744 2.0467 0.5912 2.0467 0.8038 0.0001 1.0438 0.0001 1.2675 0.0001 
 0.2263 2.1592 7.1807 320.0533 5.0059 251.4270 2.5052 320.0533 0.1700 1368.2695 0.1788 798.1389 0.9177 0.0001 0.9300 0.0001 4.5892 0.0001 4.6356 0.0001 0.0701 3463.4591 1.2019 14.7036 1.8265 1.4548 1.9442 1.4548 7.8731 2.0366 8.1779 2.0366 4.9965 2.9963 2.3703 2.9963 2.1780 2.9963 2.3697 0.0001 2.1421 0.0001 1.5482 0.0001 
 0.2194 3.4082 3.9818 237.5712 2.4585 184.5049 1.3446 237.5712 0.1364 974.3852 0.1498 610.0736 0.5636 7.2571 0.5697 7.2571 3.4475 0.0001 3.3877 0.0001 0.0566 2076.6973 0.8468 29.9578 1.0244 1.1482 1.1694 1.1482 6.3224 1.1482 6.8588 1.1482 7.7995 2.6392 3.9992 2.6392 4.0965 2.6392 4.3573 0.0001 4.7309 0.0001 2.9483 0.0001 
 0.0993 0.1107 4.0988 283.6540 0.6826 113.6136 1.3840 283.6540 0.1184 939.2180 0.1249 478.5750 0.6235 0.0001 0.6271 0.0001 1.1290 0.0001 1.0874 0.0001 0.0509 2731.2573 0.1863 8.7655 0.8690 1.6155 0.9133 0.1252 1.4109 1.5101 1.4607 0.0198 0.4072 1.0342 0.1373 1.0342 0.1517 1.0342 0.3521 0.0001 0.5363 0.0001 0.5904 0.0001 
 0.2031 6.1293 3.9119 440.3779 2.2919 252.2358 1.3902 440.3779 0.1179 1145.4792 0.1245 643.2969 1.4735 0.3494 0.3229 20.1386 4.1024 0.3220 4.0675 0.3220 0.0497 3057.5365 0.1990 16.4754 0.8197 2.3581 0.8591 1.1701 5.4683 1.2155 5.4058 0.0274 1.1734 4.7932 0.5181 4.7932 0.5326 4.7932 0.5582 0.0001 1.4107 0.0001 1.2492 0.0001 
 0.2965 0.0001 1.7030 164.9416 0.3305 127.5918 0.5672 164.9416 0.0792 850.8603 0.0820 486.8710 0.8835 0.0001 0.8839 0.0001 2.8830 0.0001 2.8936 0.0001 0.0343 1825.5385 0.3019 4.0969 0.7005 2.1562 0.7459 2.1562 1.0363 2.8883 1.0670 2.8883 1.1435 1.8264 0.7247 1.8264 0.7379 1.8264 0.9813 0.0001 0.5896 0.0001 0.3985 0.0001 
 0.1840 3.5921 3.1628 277.7026 0.7597 155.0202 1.0850 277.7026 0.1077 1013.8494 0.1137 549.6153 1.2641 0.0001 1.2684 0.0001 9.1887 0.0001 9.2042 0.0001 0.0448 2490.7023 0.1694 16.9373 1.1053 1.7919 1.1789 1.4982 4.4945 0.2937 4.4810 0.0001 1.4568 2.6106 0.6082 2.6106 0.6289 2.6106 0.6476 0.0001 0.5482 0.0001 0.5118 0.0001 
 0.2430 4.4499 2.8607 246.8057 0.7912 177.4246 0.9951 246.8057 0.1094 908.2668 0.1171 600.0218 1.2734 6.5742 1.2807 6.5742 34.4727 3.5022 35.1300 3.5022 0.0454 1961.4977 0.9350 33.0712 1.3787 0.4092 1.5225 0.4092 24.8960 0.0754 25.0995 0.0754 5.8045 11.7944 2.8911 11.7944 3.1064 11.1245 3.0862 0.0001 1.8405 0.0001 1.5344 0.0001 
 0.0370 0.0001 0.3035 24.2629 0.0461 1.0661 0.0959 24.2629 0.0325 220.2118 0.0340 146.1522 0.0762 0.0001 0.0766 0.0001 0.4532 0.0001 0.4362 0.0001 0.0121 480.2889 0.0519 0.0632 0.0686 1.8078 0.0822 0.0001 0.5727 1.8078 0.5873 0.0001 0.1611 2.4108 0.0465 2.4108 0.0514 2.4108 0.1068 0.0001 0.0808 0.0001 0.1612 0.0001 
 0.6529 2.1789 10.7785 321.3411 3.7137 241.1343 3.5842 318.6293 0.2310 1806.4519 0.2482 1206.2683 1.4379 1.1805 1.4470 1.1805 7.6654 0.0001 7.8481 0.0001 0.0915 3250.1924 1.3729 16.2938 3.3619 1.8889 4.0025 1.2759 15.3940 1.0572 15.9035 0.0001 21.6763 2.2541 11.4832 2.2541 11.4563 2.2541 11.7182 0.0001 2.7094 0.0001 2.8341 0.0001 
 0.3316 3.6608 1.5190 139.6507 0.5770 78.8487 0.5200 139.6507 0.0832 785.4180 0.1033 427.4578 0.6447 0.8983 0.6502 0.8983 7.1468 0.5571 7.5568 0.5571 0.0359 1427.8936 1.4233 28.4601 0.9478 3.8917 1.4842 3.4820 2.9284 6.0667 3.2917 4.4185 8.5191 32.3738 4.8305 32.3738 4.7485 32.3738 5.4313 0.0001 5.2239 0.0001 4.2927 0.0001 
 1.7842 16.3101 17.4754 382.8626 4.1985 345.9229 5.8878 382.8626 0.3096 2688.3024 0.3375 1740.0721 13.4192 15.5503 13.5744 15.5503 38.4010 2.2677 37.9242 2.2677 0.1241 3620.3523 27.7896 60.6941 18.8221 15.9192 19.4506 14.6372 43.6289 3.5603 44.4816 2.0560 128.4997 34.8698 76.8266 34.8698 77.2945 34.8698 99.3024 0.0001 41.6359 0.0001 45.4083 0.0001 
 0.2693 11.4184 10.7302 572.9172 4.5893 443.2392 3.6404 572.9172 0.2045 1892.7461 0.2141 1004.4303 2.4331 2.2315 2.4545 2.2315 2.0731 0.3794 2.0509 0.3794 0.0851 4532.5023 0.3806 49.8756 3.5183 4.3246 3.5951 4.3246 5.4855 1.7911 5.7153 0.3794 4.4336 0.0001 1.9853 0.0001 1.8851 0.0001 1.9890 0.0001 2.5475 0.0001 2.9261 0.0001 
 0.1161 1.1996 2.1766 254.4234 0.4682 172.2375 0.7469 254.4234 0.0902 661.9700 0.0954 444.6699 0.5663 0.2551 0.5669 0.2551 13.5676 0.2551 13.6853 0.2551 0.0397 1978.7461 0.2167 21.3350 0.5742 4.2336 0.6385 1.6320 16.9623 1.0646 17.3393 1.0646 2.3601 2.5049 1.4526 2.5049 1.4586 2.0702 1.6800 0.0001 2.7419 0.0001 2.4093 0.0001 
 0.0113 0.0001 0.2002 99.6530 0.0095 26.1762 0.0694 99.6530 0.0260 216.4466 0.0283 186.3499 0.1363 0.0001 0.1373 0.0001 0.5548 0.0001 0.5188 0.0001 0.0109 559.3864 0.0220 9.3546 0.1223 0.9474 0.1274 0.9474 0.9810 0.9474 1.0572 0.9474 0.0820 2.5521 0.0317 2.5521 0.0351 2.5521 0.0572 0.0001 0.0609 0.0001 0.1893 0.0001 
 0.2857 4.9913 3.3031 228.9722 2.2692 93.4612 1.1178 228.9722 0.1146 949.8115 0.1213 581.4230 0.9852 0.0001 0.9925 0.0001 8.0937 0.0001 8.4365 0.0001 0.0480 2148.0983 0.3375 15.1189 1.1651 0.3089 1.2462 0.3089 8.2554 1.4827 8.3579 0.2843 3.5358 4.9760 1.7092 4.9760 1.7071 2.7484 1.8246 0.0001 0.8387 0.0001 1.3675 0.0001 
 0.0073 0.0001 0.0655 32.9808 0.0022 9.4093 0.0249 32.9808 0.0138 123.5104 0.0149 79.9777 0.0376 0.0001 0.0377 0.0001 0.2103 0.0001 0.2128 0.0001 0.0053 222.8809 0.0101 0.0001 0.0354 0.0001 0.0370 0.0001 0.5477 0.0001 0.4355 0.0001 0.0382 0.0001 0.0187 0.0001 0.0181 0.0001 0.0189 0.0001 0.0738 0.0001 0.0727 0.0001 
